,Calculation
0,0.15287316237362736
1,0.14265119340033605
2,0.1335831700854986
3,0.1255339868237442
4,0.12398328792126087
5,0.12445735373208545
6,0.1260298307458881
7,0.12398760863754503
8,0.12508202668432306
9,0.12287696250099407
10,0.12349896079131566
11,0.12464584366322198
12,0.1263773877325472
13,0.1294904539185452
14,0.13299249363748
15,0.13525853735704407
16,0.1366767337461251
17,0.13799621371855092
18,0.13984482941166446
19,0.13799621371855114
20,0.13667673374612502
21,0.13525853735704424
22,0.13299249363748009
23,0.12949045391854566
24,0.1263773877325471
25,0.12464584366322205
26,0.12349896079131566
27,0.12287696250099417
28,0.1250820266843233
29,0.12398760863754535
30,0.126029830745888
31,0.12445735373208533
32,0.12398328792126075
33,0.12553398682374473
34,0.1335831700854985
35,0.14265119340033733
36,0.15287316237362736
