,Calculation
0,0.10160585235757354
1,0.12163996834291632
2,0.13520710286624946
3,0.14713941772314892
4,0.1590182336412528
5,0.1715738183806198
6,0.18528137704079856
7,0.2005457875341861
8,0.2177737091430764
9,0.2374052408124425
10,0.2599208551848212
11,0.28581595522351266
12,0.31551370651497074
13,0.3491563005289337
14,0.3861805846261538
15,0.424601218520592
16,0.4601692572227546
17,0.4862664193000354
18,0.4959910540374318
19,0.4862664193000346
20,0.4601692572227537
21,0.4246012185205909
22,0.3861805846261526
23,0.34915630052893265
24,0.3155137065149697
25,0.2858159552235117
26,0.2599208551848205
27,0.23740524081244185
28,0.21777370914307576
29,0.20054578753418556
30,0.1852813770407981
31,0.17157381838061944
32,0.1590182336412524
33,0.1471394177231486
34,0.1352071028662491
35,0.12163996834291585
36,0.10160585235757268
