,Calculation
0,0.09989042814968974
1,0.1053105216545017
2,0.11132262234305512
3,0.1180229820829653
4,0.12552795428674934
5,0.1339786887757798
6,0.14354670754900545
7,0.1544401305941506
8,0.16690970193344642
9,0.1812523539193664
10,0.1978069673889904
11,0.21693055542627912
12,0.2389305432697892
13,0.26390741084475045
14,0.291436981220473
15,0.3200347442047593
16,0.34652740723269426
17,0.3659737314521879
18,0.3732214396274141
19,0.36597373145218737
20,0.3465274072326936
21,0.3200347442047584
22,0.2914369812204721
23,0.2639074108447496
24,0.2389305432697885
25,0.21693055542627845
26,0.1978069673889899
27,0.18125235391936584
28,0.16690970193344598
29,0.15444013059415024
30,0.14354670754900511
31,0.1339786887757795
32,0.1255279542867491
33,0.11802298208296508
34,0.11132262234305493
35,0.10531052165450153
36,0.09989042814968956
