,Calculation,Experiment,Simulation
0,0.017559256290543,0.016730470001657,0.01728515178
1,0.018774343779297,0.018233726992746,0.01744885355
2,0.020710831386344,0.020475485755996,0.02092235465
3,0.021422688685835,0.021831155275367,0.022273815
4,0.022461792919751,0.022814644042044,0.02288900032
5,0.024012958768949,0.024482157226144,0.024720020736
6,0.027098737537184,0.027436413560519,0.0272348366144
7,0.030329698090831,0.030886347144686,0.0305578848
8,0.034292185848491,0.034939840833931,0.034159254
9,0.038077762590001,0.03884519343725,0.038355415342
10,0.039805517674425,0.039186398347354,0.03942818514
11,0.038077762590001,0.03884519343725,0.038355415342
12,0.034292185848491,0.03550814607753,0.035159254
13,0.030329698090831,0.031392290946911,0.0315409792
14,0.027098737537184,0.02788928146145,0.0272348366144
15,0.024012958768949,0.024856215328072,0.024720020736
16,0.022461792919751,0.023251752455595,0.02317371906
17,0.021422688685835,0.021315146150676,0.02161159
18,0.020710831386344,0.019903533854652,0.0193609849
19,0.018774343779297,0.018233726992746,0.0181884229
20,0.017559256290543,0.016730470001657,0.01602716444
