x_positions,total_efficiency_calculation,total_efficiency_experiment,total_efficiency_simulation
-2.0,1.3530654503033,1.3715509539731001,1.3088762925000001
-1.8,1.4093220571812,1.4072420041393998,1.410926987
-1.6,1.6912275307595,1.6494412995632,1.6471380369999997
-1.4000000000000001,1.8991684248574998,1.8143535440608995,1.88764845
-1.2000000000000002,2.0342076493389,2.0147618959101,2.05424
-1.0000000000000002,2.391605156788,2.3616130220314,2.3555392
-0.8000000000000003,2.6369430930677,2.6194514611282993,2.6212799999999996
-0.6000000000000003,2.9671687667492996,2.9608482844557997,2.96697506492
-0.40000000000000036,3.3672606535653,3.3172701975556005,3.34978124536
-0.2000000000000004,3.8631088384070997,3.8168683989117005,3.8957294114416
-4.440892098500626e-16,4.041612587927201,4.0352210493606,4.029618514
0.1999999999999993,3.8631088384070997,3.8168683989117005,3.8849392833999996
0.39999999999999947,3.3672606535653,3.3698435852101998,3.3306403999999996
0.5999999999999996,2.9671687667492996,2.9079382580627997,2.9465152000000003
0.7999999999999994,2.6369430930677,2.6612891759149,2.6212799999999996
0.9999999999999991,2.391605156788,2.3466941552312,2.3555392
1.1999999999999993,2.0342076493389,2.0013390965409,2.01956634
1.3999999999999995,1.8991684248574998,1.8021453407636001,1.84736921
1.5999999999999992,1.6912275307595,1.6382325644143998,1.6167753866
1.799999999999999,1.4093220571812,1.4968950829021999,1.4785477832200002
1.9999999999999991,1.3530654503033,1.3620264027369,1.3803208875500002
