,Calculation,Experiment,Simulation
0,0.018382705035375,0.018410470001657,0.01899913912
1,0.019409355515915,0.019213726992746,0.0192052842
2,0.020413325787048,0.020389085755996,0.020198286
3,0.021503591397316,0.021316070543523,0.0211
4,0.022842344978314,0.022536299922106,0.02260428158
5,0.024656584904219,0.025271046839058,0.024810571384
6,0.027186261236477,0.028141149362382,0.0279504252586
7,0.030590553551258,0.031125034749137,0.0306238848
8,0.034715866947375,0.033875451321129,0.034489254
9,0.038633454695907,0.037622001592369,0.0372563415342
10,0.040416125879272,0.039995945295507,0.039975759495
11,0.038633454695907,0.037622001592369,0.03795136924985
12,0.034715866947375,0.033875451321129,0.0332052445
13,0.030590553551258,0.031125034749137,0.031887725504
14,0.027186261236478,0.028141149362382,0.028294692463166
15,0.024656584904219,0.025271046839058,0.02493015054082
16,0.022842344978314,0.022536299922106,0.02266654784814
17,0.021503591397316,0.021316070543523,0.02159785
18,0.020413325787048,0.020389085755996,0.020757426031
19,0.019409355515915,0.019213726992746,0.019887265085645
20,0.018382705035375,0.018410470001657,0.017832523200422
