,Calculation,Experiment,Simulation
0,0.013530654503033,0.013715509539731,0.013088762925
1,0.014093220571812,0.014072420041394,0.01410926987
2,0.016912275307595,0.016494412995632,0.01647138037
3,0.018991684248575,0.018143535440609,0.0188764845
4,0.020342076493389,0.020147618959101,0.0205424
5,0.02391605156788,0.023616130220314,0.023555392
6,0.026369430930677,0.026194514611283,0.0262128
7,0.029671687667493,0.029608482844558,0.0296697506492
8,0.033672606535653,0.033172701975556,0.0334978124536
9,0.038631088384071,0.038168683989117,0.038957294114416
10,0.040416125879272,0.040352210493606,0.04029618514
11,0.038631088384071,0.038168683989117,0.038849392834
12,0.033672606535653,0.033698435852102,0.033306404
13,0.029671687667493,0.029079382580628,0.029465152
14,0.026369430930677,0.026612891759149,0.0262128
15,0.02391605156788,0.023466941552312,0.023555392
16,0.020342076493389,0.020013390965409,0.0201956634
17,0.018991684248575,0.018021453407636,0.0184736921
18,0.016912275307595,0.016382325644144,0.016167753866
19,0.014093220571812,0.014968950829022,0.0147854778322
20,0.013530654503033,0.013620264027369,0.0138032088755
