,Calculation
0,0.010070909336823343
1,0.011255233856019942
2,0.011723892832321958
3,0.01200123584962483
4,0.012823793990215972
5,0.013905184979340722
6,0.01522356411582216
7,0.0162293287237906
8,0.017798603856349904
9,0.01908065808795593
10,0.0210158694185286
11,0.023344038602747072
12,0.02614707479163184
13,0.029666721817710736
14,0.033717625988493136
15,0.037719241674641794
16,0.04131962375193495
17,0.04409222145919493
18,0.04557915330180568
19,0.04409222145919485
20,0.041319623751934806
21,0.03771924167464172
22,0.03371762598849309
23,0.02966672181771067
24,0.026147074791631825
25,0.023344038602747075
26,0.02101586941852852
27,0.019080658087955903
28,0.017798603856349883
29,0.01622932872379054
30,0.015223564115822109
31,0.013905184979340684
32,0.01282379399021594
33,0.012001235849624838
34,0.011723892832322
35,0.011255233856019994
36,0.0100709093368233
